feature,mean_abs_shap
word_svd_26,0.004953836746855859
word_svd_15,0.0049463075923761035
word_svd_19,0.0049062192801558185
char_svd_66,0.0048947497363929
std_word_len,0.004890130264721156
word_svd_95,0.004859085903817513
char_svd_38,0.004828164957601122
median_word_len,0.004794415076897566
char_svd_62,0.004791738768763303
word_svd_32,0.004766634779925788
word_svd_141,0.004756585579197142
char_svd_92,0.004743600574022629
word_svd_187,0.0047358508020234336
char_svd_69,0.00469802815518039
word_svd_68,0.004658269197536594
char_svd_18,0.0046566486542656705
word_svd_161,0.004645606029763312
word_svd_180,0.004640013090158585
char_svd_97,0.004629733394486647
word_svd_174,0.004584297267486181
word_svd_38,0.004582580828055576
char_svd_87,0.004540683905756089
num_spaces,0.00453349961544153
word_svd_197,0.0044457365192445775
char_svd_106,0.004384309155387591
char_svd_95,0.00435518828453426
word_svd_8,0.004349757873805006
char_svd_139,0.004309709369861915
word_svd_79,0.004307259216397492
char_svd_99,0.0042541903217333185
word_svd_172,0.004252504932954648
char_svd_72,0.00422929793549494
num_medium_words,0.004210312120367512
word_svd_194,0.0041867550912211915
char_svd_60,0.004116810394582379
has_recommend,0.004098740196811254
word_svd_133,0.004088453957957102
char_svd_63,0.00405411437790729
word_svd_130,0.00403729034158445
word_svd_198,0.0040200586246718194
word_svd_112,0.003977936171098128
word_svd_64,0.003936100209423124
char_svd_142,0.0038982868878064737
char_svd_132,0.0038767985195814043
char_svd_131,0.003872261689700677
char_svd_23,0.0038530596295697993
char_svd_30,0.0038224622341581378
word_svd_69,0.0038148236759316867
char_svd_128,0.0038083549198160175
word_svd_103,0.0037359865695384843
word_svd_21,0.003720969968707
char_svd_22,0.0037131533391018454
char_svd_70,0.00369865362275738
num_uppercase_letters,0.0036434098147272126
char_svd_71,0.0036402625874672545
char_svd_32,0.0036333703586322492
word_svd_66,0.003608359859119451
word_svd_188,0.0035960781215107185
char_svd_89,0.0035477760797405773
char_svd_93,0.0035447278162861924
char_svd_119,0.00354327819175543
char_svd_123,0.0035315709452275936
word_svd_87,0.003509149672897773
word_svd_65,0.003503079434124176
char_svd_53,0.0034853249639825138
word_svd_146,0.003480519827904491
char_svd_124,0.0034785311093737804
char_svd_19,0.003413512252931208
class_0_top_match_ratio,0.0034119076582421613
char_svd_20,0.0033634762424527604
char_svd_143,0.0033545113166259023
word_svd_43,0.0033394058319047544
char_svd_49,0.003307062959272397
word_svd_28,0.003223493772074906
char_svd_101,0.003148583338505675
word_svd_89,0.0031410807673248504
space_ratio,0.0031199661209768263
word_svd_83,0.003090820598256408
word_svd_73,0.0030295860415965577
word_svd_169,0.0030196024681742742
word_svd_143,0.0030175017565073786
char_svd_134,0.0030101514194440814
word_svd_165,0.002964738212430285
word_svd_128,0.002922448391863064
word_svd_150,0.0029058348063968876
word_svd_48,0.0029024207605678034
